row_type;family;model;group_type;held_out_group;n_train;n_test;status;rmse_sf;rmse_log;r2_sf;group_count;valid_folds;prediction_count;coverage
fold;e;lq;year;2018;22;1;ok;0.022058063845123203;;;;;;
fold;e;lq;year;2019;22;1;ok;0.038629546611471166;;;;;;
fold;e;lq;year;2020;18;5;ok;0.07959557437917168;;;;;;
fold;e;lq;year;2021;22;1;ok;0.056468073259190385;;;;;;
fold;e;lq;year;2022;20;3;ok;0.054301089492382805;;;;;;
fold;e;lq;year;2023;19;4;ok;0.11548304650739573;;;;;;
fold;e;lq;year;2024;22;1;ok;0.04788100853898225;;;;;;
fold;e;lq;year;2025;16;7;ok;0.02028420042146304;;;;;;
aggregate;n;linear;series;ALL;;3;incomplete;0.005434184058744858;0.11739950710702463;;2;1;1;0.3333333333333333
fold;n;linear;series;2023-02-02;1;2;failed:ValueError;;;;;;;
fold;n;linear;series;2023-03-16;2;1;ok;0.005434184058744858;;;;;;
aggregate;n;linear;year;ALL;;3;incomplete;;;;1;0;0;0.0
fold;n;linear;year;2023;0;3;failed:ValueError;;;;;;;
aggregate;n;lq;series;ALL;;3;incomplete;;;;2;0;0;0.0
fold;n;lq;series;2023-02-02;1;2;failed:ValueError;;;;;;;
fold;n;lq;series;2023-03-16;2;1;failed:ValueError;;;;;;;
aggregate;n;lq;year;ALL;;3;incomplete;;;;1;0;0;0.0
fold;n;lq;year;2023;0;3;failed:ValueError;;;;;;;
aggregate;p_peak;linear;series;ALL;;14;ok;0.008515072224963895;0.5843338033853519;-0.2731642178981899;8;8;14;1.0
fold;p_peak;linear;series;2022-06-14;11;3;ok;0.004256284435214165;;;;;;
fold;p_peak;linear;series;2024-06-19;13;1;ok;0.00027506323686611253;;;;;;
fold;p_peak;linear;series;2024-10-21;13;1;ok;0.015173401383552651;;;;;;
fold;p_peak;linear;series;2025-07-02;12;2;ok;0.009697731613654734;;;;;;
fold;p_peak;linear;series;2025-10-22;11;3;ok;0.0065366602579685395;;;;;;
fold;p_peak;linear;series;2025-12-02;13;1;ok;0.004320263255975478;;;;;;
fold;p_peak;linear;series;2025-12-03;13;1;ok;0.019798519046716603;;;;;;
fold;p_peak;linear;series;2026-05-25;12;2;ok;0.0013253148887161172;;;;;;
aggregate;p_peak;linear;year;ALL;;14;ok;0.008383929257810317;0.5841250635548593;-0.2342495075815234;4;4;14;1.0
fold;p_peak;linear;year;2022;11;3;ok;0.004256284435214165;;;;;;
fold;p_peak;linear;year;2024;12;2;ok;0.010967913251548165;;;;;;
fold;p_peak;linear;year;2025;7;7;ok;0.009896700347112333;;;;;;
fold;p_peak;linear;year;2026;12;2;ok;0.0013253148887161172;;;;;;
aggregate;p_peak;lq;series;ALL;;14;ok;0.009235742482475254;0.6090335528525802;-0.4977915721143136;8;8;14;1.0
fold;p_peak;lq;series;2022-06-14;11;3;ok;0.007348113112831497;;;;;;
fold;p_peak;lq;series;2024-06-19;13;1;ok;0.0023780232277981726;;;;;;
fold;p_peak;lq;series;2024-10-21;13;1;ok;0.0136961074340697;;;;;;
fold;p_peak;lq;series;2025-07-02;12;2;ok;0.010763415562287174;;;;;;
fold;p_peak;lq;series;2025-10-22;11;3;ok;0.009060883175630375;;;;;;
fold;p_peak;lq;series;2025-12-02;13;1;ok;0.0028386615087507873;;;;;;
fold;p_peak;lq;series;2025-12-03;13;1;ok;0.0187220248094436;;;;;;
fold;p_peak;lq;series;2026-05-25;12;2;ok;0.0010929875422501;;;;;;
aggregate;p_peak;lq;year;ALL;;14;ok;0.008340102365051259;0.5265000878434634;-0.22137918555357783;4;4;14;1.0
fold;p_peak;lq;year;2022;11;3;ok;0.007348113112831497;;;;;;
fold;p_peak;lq;year;2024;12;2;ok;0.009716284428122189;;;;;;
fold;p_peak;lq;year;2025;7;7;ok;0.009415916583600078;;;;;;
fold;p_peak;lq;year;2026;12;2;ok;0.0010929875422501;;;;;;
aggregate;p_through;linear;series;ALL;;18;ok;0.06646060437420893;1.0065720639318188;-0.02532179403963819;12;12;18;1.0
fold;p_through;linear;series;2017-02-15;16;2;ok;0.055363520964794424;;;;;;
fold;p_through;linear;series;2017-05-04;16;2;ok;0.0480428857984666;;;;;;
fold;p_through;linear;series;2017-11-02;16;2;ok;0.0345947172253314;;;;;;
fold;p_through;linear;series;2018-02-14;17;1;ok;0.06367726247632131;;;;;;
fold;p_through;linear;series;2018-05-03;17;1;ok;0.17353429294630485;;;;;;
fold;p_through;linear;series;2019-05-23;17;1;ok;0.042675763284863284;;;;;;
fold;p_through;linear;series;2021-10-08;16;2;ok;0.07863841308758743;;;;;;
fold;p_through;linear;series;2021-10-19;17;1;ok;0.0736250044462464;;;;;;
fold;p_through;linear;series;2021-11-12;16;2;ok;0.03821708800369547;;;;;;
fold;p_through;linear;series;2022-02-04;17;1;ok;0.049517502180387044;;;;;;
fold;p_through;linear;series;2022-03-30;16;2;ok;0.05233859879760302;;;;;;
fold;p_through;linear;series;2024-04-19;17;1;ok;0.04166065368768997;;;;;;
aggregate;p_through;linear;year;ALL;;18;ok;0.07664976364297764;1.1217905127762513;-0.36380807057217956;6;6;18;1.0
fold;p_through;linear;year;2017;12;6;ok;0.06313256484504745;;;;;;
fold;p_through;linear;year;2018;16;2;ok;0.12785667720973978;;;;;;
fold;p_through;linear;year;2019;17;1;ok;0.042675763284863284;;;;;;
fold;p_through;linear;year;2021;13;5;ok;0.08524875369941225;;;;;;
fold;p_through;linear;year;2022;15;3;ok;0.05553013489861623;;;;;;
fold;p_through;linear;year;2024;17;1;ok;0.04166065368768997;;;;;;
aggregate;p_through;lq;series;ALL;;18;ok;0.10932034993314747;0.9516153197664019;-1.7741736510664206;12;12;18;1.0
fold;p_through;lq;series;2017-02-15;16;2;ok;0.04650553337278495;;;;;;
fold;p_through;lq;series;2017-05-04;16;2;ok;0.031964982577049966;;;;;;
fold;p_through;lq;series;2017-11-02;16;2;ok;0.0222910250778008;;;;;;
fold;p_through;lq;series;2018-02-14;17;1;ok;0.04597461632816545;;;;;;
fold;p_through;lq;series;2018-05-03;17;1;ok;0.18612123984410522;;;;;;
fold;p_through;lq;series;2019-05-23;17;1;ok;0.030977393114014727;;;;;;
fold;p_through;lq;series;2021-10-08;16;2;ok;0.09276007673595828;;;;;;
fold;p_through;lq;series;2021-10-19;17;1;ok;0.0863172430366272;;;;;;
fold;p_through;lq;series;2021-11-12;16;2;ok;0.2659084409762647;;;;;;
fold;p_through;lq;series;2022-02-04;17;1;ok;0.031532096092080686;;;;;;
fold;p_through;lq;series;2022-03-30;16;2;ok;0.0348019098837858;;;;;;
fold;p_through;lq;series;2024-04-19;17;1;ok;0.02342955614007354;;;;;;
aggregate;p_through;lq;year;ALL;;18;ok;0.10478727759370306;0.9922001975260492;-1.5488761342895936;6;6;18;1.0
fold;p_through;lq;year;2017;12;6;ok;0.04791398262074723;;;;;;
fold;p_through;lq;year;2018;16;2;ok;0.13305646046465527;;;;;;
fold;p_through;lq;year;2019;17;1;ok;0.030977393114014727;;;;;;
fold;p_through;lq;year;2021;13;5;ok;0.16888404607879912;;;;;;
fold;p_through;lq;year;2022;15;3;ok;0.038063692271213694;;;;;;
fold;p_through;lq;year;2024;17;1;ok;0.02342955614007354;;;;;;
aggregate;y;linear;series;ALL;;25;ok;0.03496656492473115;0.7462843906199625;0.07964040569353692;21;21;25;1.0
fold;y;linear;series;2016-01-27;23;2;ok;0.024072006041026908;;;;;;
fold;y;linear;series;2016-04-11;24;1;ok;0.026403104736620296;;;;;;
fold;y;linear;series;2016-05-25;24;1;ok;0.019120352122923116;;;;;;
fold;y;linear;series;2016-09-29;24;1;ok;0.007940380318025284;;;;;;
fold;y;linear;series;2016-12-12;24;1;ok;0.028681864847211008;;;;;;
fold;y;linear;series;2017-02-15;23;2;ok;0.029442617766616736;;;;;;
fold;y;linear;series;2017-05-04;24;1;ok;0.09635014722719171;;;;;;
fold;y;linear;series;2017-11-02;24;1;ok;0.04812981556102295;;;;;;
fold;y;linear;series;2018-02-14;23;2;ok;0.019008049504661444;;;;;;
fold;y;linear;series;2018-05-16;24;1;ok;0.04875425650501239;;;;;;
fold;y;linear;series;2018-12-05;24;1;ok;0.016675076947724368;;;;;;
fold;y;linear;series;2021-02-12;24;1;ok;0.05168177057752916;;;;;;
fold;y;linear;series;2023-11-08;23;2;ok;0.044974337481132526;;;;;;
fold;y;linear;series;2024-01-11;24;1;ok;0.004442211898282585;;;;;;
fold;y;linear;series;2024-01-12;24;1;ok;0.009122470611370018;;;;;;
fold;y;linear;series;2024-03-22;24;1;ok;0.014404691191907334;;;;;;
fold;y;linear;series;2024-10-16;24;1;ok;0.032500811950462054;;;;;;
fold;y;linear;series;2025-03-19;24;1;ok;0.005173643923553569;;;;;;
fold;y;linear;series;2025-04-11;24;1;ok;0.04863166216336879;;;;;;
fold;y;linear;series;2025-06-02;24;1;ok;0.00975478131196012;;;;;;
fold;y;linear;series;2025-07-02;24;1;ok;0.01333681673426193;;;;;;
aggregate;y;linear;year;ALL;;25;ok;0.034943281446308136;0.7551472827495307;0.08086569266070176;7;7;25;1.0
fold;y;linear;year;2016;19;6;ok;0.02225627291144193;;;;;;
fold;y;linear;year;2017;21;4;ok;0.056470007863959795;;;;;;
fold;y;linear;year;2018;21;4;ok;0.03130771548605978;;;;;;
fold;y;linear;year;2021;24;1;ok;0.05168177057752916;;;;;;
fold;y;linear;year;2023;23;2;ok;0.044974337481132526;;;;;;
fold;y;linear;year;2024;21;4;ok;0.018367359798378443;;;;;;
fold;y;linear;year;2025;21;4;ok;0.0265132344612306;;;;;;
aggregate;y;lq;series;ALL;;25;ok;0.035114781520611656;0.732095525969191;0.07182141176227996;21;21;25;1.0
fold;y;lq;series;2016-01-27;23;2;ok;0.008362456316705472;;;;;;
fold;y;lq;series;2016-04-11;24;1;ok;0.031967158854650485;;;;;;
fold;y;lq;series;2016-05-25;24;1;ok;0.014233120801594737;;;;;;
fold;y;lq;series;2016-09-29;24;1;ok;0.0028107576893987296;;;;;;
fold;y;lq;series;2016-12-12;24;1;ok;0.02482171374291108;;;;;;
fold;y;lq;series;2017-02-15;23;2;ok;0.030742794551697806;;;;;;
fold;y;lq;series;2017-05-04;24;1;ok;0.10039648272359533;;;;;;
fold;y;lq;series;2017-11-02;24;1;ok;0.05341892357907506;;;;;;
fold;y;lq;series;2018-02-14;23;2;ok;0.013620150528136836;;;;;;
fold;y;lq;series;2018-05-16;24;1;ok;0.053956601718397855;;;;;;
fold;y;lq;series;2018-12-05;24;1;ok;0.02200102558140113;;;;;;
fold;y;lq;series;2021-02-12;24;1;ok;0.04693823390696164;;;;;;
fold;y;lq;series;2023-11-08;23;2;ok;0.04549891022070816;;;;;;
fold;y;lq;series;2024-01-11;24;1;ok;0.004057685341047702;;;;;;
fold;y;lq;series;2024-01-12;24;1;ok;0.0051443404858755384;;;;;;
fold;y;lq;series;2024-03-22;24;1;ok;0.01849266555094877;;;;;;
fold;y;lq;series;2024-10-16;24;1;ok;0.036697084255507904;;;;;;
fold;y;lq;series;2025-03-19;24;1;ok;0.014982316747049706;;;;;;
fold;y;lq;series;2025-04-11;24;1;ok;0.04336370504039219;;;;;;
fold;y;lq;series;2025-06-02;24;1;ok;0.00045960407081548603;;;;;;
fold;y;lq;series;2025-07-02;24;1;ok;0.008246863218637088;;;;;;
aggregate;y;lq;year;ALL;;25;ok;0.03552327124039809;0.7587916245241934;0.05010082993262088;7;7;25;1.0
fold;y;lq;year;2016;19;6;ok;0.01746880220581368;;;;;;
fold;y;lq;year;2017;21;4;ok;0.060390658033924384;;;;;;
fold;y;lq;year;2018;21;4;ok;0.03228200756539789;;;;;;
fold;y;lq;year;2021;24;1;ok;0.04693823390696164;;;;;;
fold;y;lq;year;2023;23;2;ok;0.04549891022070816;;;;;;
fold;y;lq;year;2024;21;4;ok;0.021653169490445427;;;;;;
fold;y;lq;year;2025;21;4;ok;0.026177465813985418;;;;;;
