relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
1_27.03.2017_c_12.xlsx;2017-03-27;2017;2017-03-27;c;12;12.0;144.0;9;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;38;;nearest_date_proxy_control;1;0;;0.3420048501859545;13.0;0.02667452395245367;0.29146082257811257;0.3899944636514308;500;11
2.12.2025_p23_p23_in_peak.xlsx;2025-12-02;2025;2025-12-02;p_peak;23+23;46.0;1058.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;15;;nearest_date_proxy_control;1;0;;0.011163998035885143;13.0;0.0058091948598420675;0.0016758522921825985;0.02381972851208791;500;10
22.03.2024_y_36.xlsx;2024-03-22;2024;2024-03-22;y;36;36.0;1296.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;605;;nearest_date_proxy_control;1;0;;0.056661432110281594;14.0;0.014000761462627735;0.03283625332737876;0.08504723849980658;500;11
22.10.2025_p16_p16_p16_in_peak.xlsx;2025-10-22;2025;2025-10-22;p_peak;16+16+16;48.0;768.0;8;control_17.11.2025.xlsx;explicit_date_map;control_17.11.2025.xlsx;26;;;1;1;;0.0064693384541244505;15.0;0.0015227539329496671;0.0036976580124219406;0.009420226056642911;500;10
22.10.2025_p32_in_peak.xlsx;2025-10-22;2025;2025-10-22;p_peak;32;32.0;1024.0;8;control_17.11.2025.xlsx;explicit_date_map;control_17.11.2025.xlsx;26;;;1;1;;0.023257432454816703;14.0;0.007026869320227442;0.01046848990474635;0.037623688622458976;500;11
22.10.2025_p40_in_peak.xlsx;2025-10-22;2025;2025-10-22;p_peak;40;40.0;1600.0;8;control_17.11.2025.xlsx;explicit_date_map;control_17.11.2025.xlsx;26;;;1;1;;0.0072512223429458;15.0;0.002592856507811847;0.00249300158527783;0.012489968283520645;500;10
24.03.2026_n2.36_p18.8_n2.36_p18.8_in_peak.xlsx;2026-03-24;2026;2026-03-24;p_peak;2.36+18.8+2.36+18.8;42.32;718.0192000000001;8;control_24.03.2026.xlsx;same_date;control_24.03.2026.xlsx;0;;;0;0;mixed_radiation_field;;;;;;0;0
24.03.2026_p18.8_n2.36_p18.8_n2.36_in_peak.xlsx;2026-03-24;2026;2026-03-24;p_peak;18.8+2.36+18.8+2.36;42.32;718.0192000000002;8;control_24.03.2026.xlsx;same_date;control_24.03.2026.xlsx;0;;;0;0;mixed_radiation_field;;;;;;0;0
24.12.2015_с_12.xlsx;2015-12-24;2015;2015-12-24;c;12;12.0;144.0;8;control_13.01.2016.xlsx;nearest_available_proxy;control_13.01.2016.xlsx;20;;nearest_date_proxy_control;1;0;;0.1167212082171958;21.0;0.04699575661268721;0.047397205148228067;0.2282307168793039;500;9
27.01.2016_y_28.xlsx;2016-01-27;2016;2016-01-27;y;28;28.0;784.0;8;control_13.01.2016.xlsx;explicit_date_map;control_13.01.2016.xlsx;14;;;1;1;;0.11213473239450829;28.0;0.04394529294499856;0.033543547892697936;0.20687486624512297;500;11
