dose_gy,volume_fraction_ge
0.0,1.0
0.000282027521859,0.9791169451073986
0.000564055043718,0.9725536992840096
0.0008460825655769999,0.9656921241050119
0.001128110087436,0.9582338902147971
0.001410137609295,0.9525656324582339
0.0016921651311539998,0.9474940334128878
0.001974192653013,0.9433174224343676
0.002256220174872,0.9394391408114559
0.0025382476967309997,0.9385441527446301
0.00282027521859,0.9379474940334129
0.0031023027404489998,0.9373508353221957
0.0033843302623079996,0.9364558472553699
0.003666357784167,0.9346658711217184
0.003948385306026,0.9340692124105012
0.0042304128278849995,0.9328758949880668
0.004512440349744,0.9313842482100239
0.004794467871603,0.9307875894988067
0.005076495393461999,0.9301909307875895
0.005358522915321,0.9295942720763724
0.00564055043718,0.9292959427207638
0.005922577959038999,0.9286992840095465
0.0062046054808979996,0.9272076372315036
0.006486633002757,0.9263126491646778
0.006768660524615999,0.9254176610978521
0.0070506880464749995,0.9245226730310262
0.007332715568334,0.9236276849642004
0.007614743090193,0.9227326968973747
0.007896770612052,0.9224343675417661
0.008178798133911,0.9218377088305489
0.008460825655769999,0.9215393794749404
0.009024880699488,0.9212410501193318
0.009588935743206,0.9206443914081146
0.009870963265065,0.920346062052506
0.010435018308783,0.9200477326968973
0.010717045830642,0.9197494033412887
0.010999073352500999,0.9194510739856802
0.01128110087436,0.9191527446300716
0.011563128396219,0.9185560859188544
0.011845155918077999,0.9182577565632458
0.012127183439937,0.9176610978520287
0.012691238483654999,0.9173627684964201
0.012973266005514,0.9170644391408115
0.013255293527372999,0.9167661097852029
0.013537321049231998,0.915871121718377
0.014665431136668,0.9149761336515513
0.015229486180386,0.9146778042959427
0.015793541224104,0.9143794749403341
0.016075568745962998,0.9140811455847255
0.016357596267822,0.913782816229117
0.016639623789681,0.9134844868735084
0.016921651311539998,0.9131861575178998
0.017203678833399,0.9128878281622912
0.017485706355258,0.9125894988066826
0.017767733877116998,0.912291169451074
0.018049761398976,0.9110978520286396
0.018613816442693998,0.910799522673031
0.019177871486412,0.9102028639618138
0.01974192653013,0.9096062052505967
0.020023954051989,0.9087112171837709
0.021434091661284,0.9084128878281623
0.022280174226861,0.9081145584725537
0.02256220174872,0.9075178997613366
0.022844229270578997,0.9066229116945107
0.023408284314297,0.9060262529832935
0.023690311836155997,0.905727923627685
0.023972339358015,0.9054295942720764
0.024536394401732997,0.9051312649164678
0.024818421923591998,0.9048329355608592
0.025100449445451,0.9045346062052506
0.025382476967309997,0.9039379474940334
0.025664504489168998,0.9036396181384249
0.025946532011028,0.9033412887828163
0.026510587054745998,0.9030429594272077
0.027074642098463997,0.902744630071599
0.027356669620322998,0.9024463007159904
0.028766807229618,0.9018496420047732
0.029048834751476998,0.9015513126491647
0.029330862273336,0.9012529832935561
0.029612889795195,0.9009546539379475
0.030176944838913,0.9006563245823389
0.030458972360772,0.9000596658711217
0.030740999882630998,0.8997613365155132
0.031305054926348996,0.8994630071599046
0.032715192535644,0.899164677804296
0.034971412710516,0.8988663484486874
0.035535467754233996,0.8985680190930787
0.035817495276093,0.8982696897374701
0.036945605363529,0.8979713603818615
0.037791687929106,0.897673031026253
0.038355742972824,0.8973747016706444
0.039765880582118995,0.8970763723150358
0.040611963147695995,0.8967780429594272
0.040893990669555,0.89618138424821
0.041458045713272995,0.8955847255369929
0.042304128278849995,0.8952863961813843
0.042586155800709,0.8949880668257757
0.043150210844426995,0.8946897374701671
0.044278320931863,0.8943914081145584
0.044560348453722,0.8940930787589498
0.044842375975580995,0.8937947494033412
0.045970486063017,0.8934964200477327
0.047098596150453,0.8931980906921241
0.049636843847183997,0.8928997613365155
0.052739146587633,0.8926014319809069
0.053867256675068996,0.8923031026252983
0.054431311718787,0.8920047732696897
0.055277394284364,0.8917064439140812
0.056969559415518,0.8914081145584726
0.057533614459236,0.891109785202864
0.058661724546672,0.8908114558472554
0.05922577959039,0.8902147971360382
0.061764027287121,0.8899164677804295
0.063738219940134,0.889618138424821
0.06684052268058299,0.8890214797136038
0.067122550202442,0.8887231503579952
0.06768660524615999,0.8884248210023866
0.068250660289878,0.888126491646778
0.06937877037731399,0.8878281622911695
0.07022485294289099,0.8872315035799523
0.071634990552186,0.8869331742243437
