voxel_id,dose_gy,let_kev_um,alpha,beta,sf,bed
8913781,16.70674633988344,0.0,0.1,0.02,0.0007080597329240968,72.5298209929252
8913782,16.304857121234367,0.0,0.1,0.02,0.0009610798835554638,69.47453027000778
8913783,16.554169450557723,0.0,0.1,0.02,0.0007957484266372776,71.36227469011342
8914065,17.174347971125663,0.0,0.1,0.02,0.0004922128260272225,76.1659936177873
8914066,17.47978377729896,0.0,0.1,0.02,0.00038632360076898105,78.58835195752373
8914067,17.333975548497857,0.0,0.1,0.02,0.00043388470268768364,77.42731721168218
8914349,16.74369194524697,0.0,0.1,0.02,0.0006882257879769196,72.81393593671261
8914350,16.78909837626627,0.0,0.1,0.02,0.0006645593799976394,73.16386323385561
8914351,16.83901724763531,0.0,0.1,0.02,0.0006394182610463679,73.54951762086722
8914634,16.514121542453744,0.0,0.1,0.02,0.0008203853733352669,71.0573636062407
8914635,16.59337127609612,0.0,0.1,0.02,0.0007723007326442924,71.66136533737048
8993870,15.221589409773948,0.0,0.1,0.02,0.0021205185435935765,61.56094624172243
8993871,15.582302610231608,0.0,0.1,0.02,0.0016378131800330149,64.14393353759776
8993872,15.936247150164654,0.0,0.1,0.02,0.0012647204370079517,66.72904179639087
8993873,16.302882928581354,0.0,0.1,0.02,0.0009625080496941377,69.45968128518723
8994153,15.910864673197343,0.0,0.1,0.02,0.001288600207418244,66.54198760295718
8994154,16.356750185256423,0.0,0.1,0.02,0.0009242383629932443,69.86540550983364
8994155,16.120129094416722,0.0,0.1,0.02,0.0011035928992024894,68.09184149854882
8994156,16.32375296519892,0.0,0.1,0.02,0.0009475095765360581,69.61673513896703
8994157,16.565450551432082,0.0,0.1,0.02,0.0007889338392352655,71.44828094582037
8994437,15.266995840793246,0.0,0.1,0.02,0.0020532675578442956,61.883228241352896
8994438,15.473722014315893,0.0,0.1,0.02,0.0017712076782604369,63.36093660958075
8994439,15.729238949120147,0.0,0.1,0.02,0.0014720444630101114,65.2110305328238
8994440,16.017471076460044,0.0,0.1,0.02,0.001191032499568031,67.32934701350686
8994441,16.25070783703744,0.0,0.1,0.02,0.001000974866056707,69.06780887798743
8994721,16.353083827472254,0.0,0.1,0.02,0.0009267975618631584,69.83775396113917
8994722,16.58237220274362,0.0,0.1,0.02,0.0007788137901665443,71.57738577680848
8994723,16.902191412531728,0.0,0.1,0.02,0.0006088731329894602,74.039006321704
8994724,16.008446195760555,0.0,0.1,0.02,0.0011990189339295767,67.26251611627268
8994725,16.251553919603015,0.0,0.1,0.02,0.0010003398487220488,69.07415487995584
8995007,15.988704269230427,0.0,0.1,0.02,0.001216662638234837,67.11643711101188
9073959,15.997729149929915,0.0,0.1,0.02,0.001208567295670266,67.18319674083338
9073960,16.161023085086278,0.0,0.1,0.02,0.0010704505422141943,68.3967565164246
9073961,15.878431508183558,0.0,0.1,0.02,0.0013197210453202483,66.30334894019883
9074242,16.231529965551026,0.0,0.1,0.02,0.0010154694135367758,68.9240429700672
9074243,15.975731003224913,0.0,0.1,0.02,0.0012283877741974267,67.02052722070525
9074244,16.555861615688876,0.0,0.1,0.02,0.0007947227563158955,71.37517238325694
9074245,16.601832101751892,0.0,0.1,0.02,0.000767325249120372,71.72599792870383
9074246,16.722257853585685,0.0,0.1,0.02,0.0006996684767185833,72.6490393979473
9074526,16.042853553427356,0.0,0.1,0.02,0.001168834292453053,67.5174835807707
9074527,16.170047965785763,0.0,0.1,0.02,0.0010632619115881156,68.46413820894821
9074528,16.305703203799943,0.0,0.1,0.02,0.000960468415406038,69.4808945978823
