n_fractions,total_dose_gy,dose_per_fraction_gy,bed,eqd2
1,0.5,0.5,0.55,0.39285714285714285
1,1.0,1.0,1.2,0.857142857142857
1,2.0,2.0,2.8000000000000003,2.0
1,5.0,5.0,10.0,7.142857142857142
1,10.0,10.0,30.000000000000004,21.42857142857143
1,15.0,15.0,60.0,42.857142857142854
1,20.0,20.0,100.00000000000001,71.42857142857143
1,25.0,25.0,150.00000000000003,107.14285714285715
3,0.5,0.16666666666666666,0.5166666666666667,0.36904761904761907
3,1.0,0.3333333333333333,1.0666666666666667,0.7619047619047619
3,2.0,0.6666666666666666,2.2666666666666666,1.6190476190476188
3,5.0,1.6666666666666667,6.666666666666668,4.761904761904762
3,10.0,3.3333333333333335,16.66666666666667,11.904761904761907
3,15.0,5.0,30.0,21.428571428571427
3,20.0,6.666666666666667,46.66666666666668,33.333333333333336
3,25.0,8.333333333333334,66.66666666666667,47.61904761904762
5,0.5,0.1,0.51,0.36428571428571427
5,1.0,0.2,1.04,0.7428571428571428
5,2.0,0.4,2.16,1.5428571428571427
5,5.0,1.0,6.0,4.285714285714286
5,10.0,2.0,14.000000000000002,10.0
5,15.0,3.0,24.0,17.142857142857142
5,20.0,4.0,36.00000000000001,25.714285714285715
5,25.0,5.0,50.0,35.71428571428571
10,0.5,0.05,0.505,0.3607142857142857
10,1.0,0.1,1.02,0.7285714285714285
10,2.0,0.2,2.08,1.4857142857142855
10,5.0,0.5,5.5,3.9285714285714284
10,10.0,1.0,12.0,8.571428571428571
10,15.0,1.5,19.5,13.928571428571427
10,20.0,2.0,28.000000000000004,20.0
10,25.0,2.5,37.5,26.785714285714285
20,0.5,0.025,0.5025,0.3589285714285714
20,1.0,0.05,1.01,0.7214285714285714
20,2.0,0.1,2.04,1.457142857142857
20,5.0,0.25,5.25,3.7499999999999996
20,10.0,0.5,11.0,7.857142857142857
20,15.0,0.75,17.25,12.32142857142857
20,20.0,1.0,24.0,17.142857142857142
20,25.0,1.25,31.25,22.32142857142857
30,0.5,0.016666666666666666,0.5016666666666667,0.35833333333333334
30,1.0,0.03333333333333333,1.0066666666666666,0.7190476190476189
30,2.0,0.06666666666666667,2.026666666666667,1.4476190476190476
30,5.0,0.16666666666666666,5.166666666666667,3.6904761904761902
30,10.0,0.3333333333333333,10.666666666666666,7.619047619047618
30,15.0,0.5,16.5,11.785714285714285
30,20.0,0.6666666666666666,22.666666666666664,16.190476190476186
30,25.0,0.8333333333333334,29.166666666666668,20.833333333333332
