voxel_id,dose_gy,let_kev_um,alpha,beta,sf,bed
9265051,16.883090601816072,0.0,0.1,0.02,0.0006179617314992881,73.8908402556421
9265052,16.79153371135069,0.0,0.1,0.02,0.000663311755577155,73.18265458723604
9265053,16.770709006852684,0.0,0.1,0.02,0.0006740511818070623,73.02204512535863
9265054,16.75311572201816,0.0,0.1,0.02,0.0006832502958798654,72.88649300108455
9265055,16.707875846729383,0.0,0.1,0.02,0.0007074455511827663,72.538498908674
9265337,16.976801772057108,0.0,0.1,0.02,0.0005745541867039327,74.61916145360138
9265338,16.883090601816072,0.0,0.1,0.02,0.0006179617314992881,73.8908402556421
9265339,16.79153371135069,0.0,0.1,0.02,0.000663311755577155,73.18265458723604
9265340,16.776094706291822,0.0,0.1,0.02,0.000671258303160502,73.06356542518631
9265341,16.75311572201816,0.0,0.1,0.02,0.0006832502958798654,72.88649300108455
9265342,16.707875846729383,0.0,0.1,0.02,0.0007074455511827663,72.538498908674
9265343,16.69997682088531,0.0,0.1,0.02,0.0007117511625417004,72.47782198450665
9265624,16.919713358002223,0.0,0.1,0.02,0.0006006456859414642,74.175053381394
9265625,16.79763750404838,0.0,0.1,0.02,0.0006601943710215332,73.22976264753093
9265626,16.767836633818476,0.0,0.1,0.02,0.000675545144912529,72.99990570950345
9265627,16.72151961864187,0.0,0.1,0.02,0.0007000657288326485,72.64336328996686
9265628,16.707875846729383,0.0,0.1,0.02,0.0007074455511827663,72.538498908674
9265629,16.70284919391952,0.0,0.1,0.02,0.0007101826671888973,72.49988343288311
9265630,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9265631,16.599084718058755,0.0,0.1,0.02,0.0007689375959573899,71.70500741351711
9265911,16.79763750404838,0.0,0.1,0.02,0.0006601943710215332,73.22976264753093
9265912,16.76029665460368,0.0,0.1,0.02,0.0006794815041980759,72.94180544466752
9265913,16.680588302904408,0.0,0.1,0.02,0.0007224232637865483,72.32899352910268
9265914,16.680588302904408,0.0,0.1,0.02,0.0007224232637865483,72.32899352910268
9265915,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9265916,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9265917,16.622422748961696,0.0,0.1,0.02,0.0007553411656097839,71.88341035800156
9265918,16.59657139165382,0.0,0.1,0.02,0.0007704153458657936,71.68580778330623
9265919,16.573233360750883,0.0,0.1,0.02,0.0007842641905206354,71.50764616673209
9266199,16.57861906019002,0.0,0.1,0.02,0.0007810478793039922,71.54874104876919
9266200,16.598725671429477,0.0,0.1,0.02,0.0007691485413177355,71.70226445450388
9266201,16.602675184351515,0.0,0.1,0.02,0.0007668311041981421,71.73243983976784
9266202,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266203,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266204,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266205,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266206,16.606265650644275,0.0,0.1,0.02,0.0007647299887988611,71.75987742259785
9266486,16.569642894458124,0.0,0.1,0.02,0.0007864152458393616,71.48025602443144
9266487,16.57431050063871,0.0,0.1,0.02,0.0007836199431859385,71.51586421495523
9266488,16.57431050063871,0.0,0.1,0.02,0.0007836199431859385,71.51586421495523
9266489,16.602675184351515,0.0,0.1,0.02,0.0007668311041981421,71.73243983976784
9266490,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266491,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266492,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9266493,16.661558831552778,0.0,0.1,0.02,0.0007330426024477367,72.18306737101166
9266774,16.57251526749233,0.0,0.1,0.02,0.0007846939627425318,71.50216772574561
9266775,16.57431050063871,0.0,0.1,0.02,0.0007836199431859385,71.51586421495523
9266776,16.602675184351515,0.0,0.1,0.02,0.0007668311041981421,71.73243983976784
9266777,16.624217982108075,0.0,0.1,0.02,0.0007543046182618792,71.89714268543716
9266778,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9266779,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9266780,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9267061,16.57431050063871,0.0,0.1,0.02,0.0007836199431859385,71.51586421495523
9267062,16.624217982108075,0.0,0.1,0.02,0.0007543046182618792,71.89714268543716
9267063,16.657968365260018,0.0,0.1,0.02,0.0007350624931396224,72.15555037686073
9267064,16.67304832368961,0.0,0.1,0.02,0.000726613658556401,72.2711564045074
9267065,16.684178769197167,0.0,0.1,0.02,0.0007204357642035629,72.35654300970307
9267066,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
9267067,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
9267349,17.025991160267917,0.0,0.1,0.02,0.0005529258701344838,75.00286615817218
9267350,17.025991160267917,0.0,0.1,0.02,0.0005529258701344838,75.00286615817218
9267351,17.04645681813665,0.0,0.1,0.02,0.0005441533361702541,75.16279482865616
9267352,17.148426060851033,0.0,0.1,0.02,0.0005023502696019488,75.962129333746
9267353,17.148426060851033,0.0,0.1,0.02,0.0005023502696019488,75.962129333746
9267639,17.27732380076112,0.0,0.1,0.02,0.000453801475403986,76.97850734403046
9267640,17.371753064260705,0.0,0.1,0.02,0.0004210616083186986,77.72731396939095
9346846,16.770709006852684,0.0,0.1,0.02,0.0006740511818070623,73.02204512535863
9346847,16.755988095052366,0.0,0.1,0.02,0.0006817404459560475,72.9086155033597
9346848,16.755988095052366,0.0,0.1,0.02,0.0006817404459560475,72.9086155033597
9346849,16.755988095052366,0.0,0.1,0.02,0.0006817404459560475,72.9086155033597
9346850,16.74234432313988,0.0,0.1,0.02,0.0006889400499244922,72.8035630100547
9347132,16.79081561809214,0.0,0.1,0.02,0.0006636794080896989,73.17711344224551
9347133,16.776094706291822,0.0,0.1,0.02,0.000671258303160502,73.06356542518631
9347134,16.755988095052366,0.0,0.1,0.02,0.0006817404459560475,72.9086155033597
9347135,16.74234432313988,0.0,0.1,0.02,0.0006889400499244922,72.8035630100547
9347136,16.730136737744495,0.0,0.1,0.02,0.000695441836065875,72.7096317904701
9347137,16.707875846729383,0.0,0.1,0.02,0.0007074455511827663,72.538498908674
9347138,16.662995018069882,0.0,0.1,0.02,0.0007322360954404341,72.19407561251423
9347419,16.79763750404838,0.0,0.1,0.02,0.0006601943710215332,73.22976264753093
