time_days,live_volume,dead_volume,total_volume,axis_a,axis_b,axis_c
0.0,2.198754842917137,3029.801245157083,3032.0,14.473594431805008,14.473594431805008,14.473594431805008
0.5,2.753729280542203,2882.0360947823187,2884.789824062861,14.235456299895825,14.235456299895825,14.235456299895825
1.0,3.4296701789673816,2741.4775358300703,2744.9072060090375,14.001542697362122,14.001542697362122,14.001542697362122
1.5,4.248442438458229,2607.7740986892736,2612.022541127732,13.771850729611709,13.771850729611709,13.771850729611709
2.0,5.234937486631405,2480.5914551240658,2485.826392610697,13.546390732002857,13.546390732002857,13.546390732002857
2.5,6.4173292312156685,2359.611582279054,2366.0289115102696,13.325188123150204,13.325188123150204,13.325188123150204
3.0,7.8273270511612605,2244.5319674565235,2252.359294507685,13.108285445775227,13.108285445775227,13.108285445775227
3.5,9.500421940335368,2135.0648516771244,2144.5652736174598,12.89574459246405,12.89574459246405,12.89574459246405
4.0,11.476121692537985,2030.9365101325334,2042.4126318250715,12.687649207133465,12.687649207133465,12.687649207133465
4.5,13.798170860793105,1931.8865677308584,1945.6847385916515,12.48410724451831,12.48410724451831,12.48410724451831
5.0,16.514751145179012,1837.6673480232841,1854.182099168463,12.285253659201095,12.285253659201095,12.285253659201095
5.5,19.678657867325096,1748.0432538839418,1767.7219117512668,12.091253182211688,12.091253182211688,12.091253182211688
6.0,23.34744827948304,1662.7901783943776,1686.1376266738605,11.902303126650274,11.902303126650274,11.902303126650274
6.5,27.583557632908978,1581.6949444595234,1609.2785020924323,11.718636143824535,11.718636143824535,11.718636143824535
7.0,32.45437919301746,1504.5547717539214,1537.009150946939,11.540522827898872,11.540522827898872,11.540522827898872
7.5,38.03230473397763,1431.1767696652857,1469.2090743992633,11.368274040174882,11.368274040174882,11.368274040174882
8.0,44.39472246755463,1361.3774549675006,1405.7721774350553,11.202242794460847,11.202242794460847,11.202242794460847
8.5,51.62396985250678,1294.9822930169823,1346.6062628694892,11.04282551381142,11.04282551381142,11.04282551381142
9.0,59.80723928243458,1231.825261325159,1291.6325006075936,10.890462438394684,10.890462438394684,10.890462438394684
9.5,69.03643525087575,1171.7484344157726,1240.7848696666483,10.74563693767042,10.74563693767042,10.74563693767042
10.0,79.40798223074003,1114.601588928928,1194.0095711596682,10.608873462033172,10.608873462033172,10.608873462033172
10.5,91.02258316816358,1060.2418279844458,1151.2644111526092,10.480733865486947,10.480733865486947,10.480733865486947
11.0,103.98492916538476,1008.5332238652294,1112.518153030614,10.36181184872074,10.36181184872074,10.36181184872074
11.5,118.4033616000604,959.346478127172,1077.7498397272325,10.252725318471215,10.252725318471215,10.252725318471215
12.0,134.389488586585,912.5585982856966,1046.9480868722817,10.154106540817299,10.154106540817299,10.154106540817299
12.5,152.05775831605283,868.0525902704815,1020.1103485865343,10.066590087064233,10.066590087064233,10.066590087064233
13.0,171.52499240401156,825.7171658793442,997.2421582833557,9.990798730538582,9.990798730538582,9.990798730538582
13.5,192.90988291871403,785.4464644997691,978.3563474184832,9.927327643597893,9.927327643597893,9.927327643597893
14.0,216.33245724814228,747.1397884022359,963.4722456503782,9.876727450914167,9.876727450914167,9.876727450914167
14.5,241.91351538410768,710.7013509434441,952.6148663275518,9.839486893809491,9.839486893809491,9.839486893809491
15.0,269.77404455029887,676.0400370498123,945.8140816001112,9.816016021142431,9.816016021142431,9.816016021142431
15.5,300.0346163739581,643.0691753823344,943.1037917562925,9.80663091342413,9.80663091342413,9.80663091342413
16.0,332.8147719953577,611.7063216130866,944.5210936084443,9.811540941923703,9.811540941923703,9.811540941923703
16.5,368.2324006244466,581.8730522714651,950.1054528959116,9.830839449048414,9.830839449048414,9.830839449048414
17.0,406.4031170906017,553.4947686446596,959.8978857352613,9.86449851348528,9.86449851348528,9.86449851348528
17.5,447.4396438914398,526.5005102420155,973.9401541334553,9.912368156290746,9.912368156290746,9.912368156290746
18.0,491.4512031335624,500.82277735684465,992.273980490407,9.97417999173031,9.97417999173031,9.97417999173031
18.5,538.5429235765556,476.3973622820006,1014.9402858585562,10.049554977641115,10.049554977641115,10.049554977641115
19.0,588.8152677471578,453.1631887571656,1041.9784565043233,10.13801462174144,10.13801462174144,10.13801462174144
19.5,642.3634837896968,431.06215924638707,1073.4256430360838,10.238994789111162,10.238994789111162,10.238994789111162
20.0,699.2770863687745,410.0390096639759,1109.3160960327505,10.351861151089405,10.351861151089405,10.351861151089405
20.5,759.6393705482551,390.04117118550647,1149.6805417337616,10.475925316978971,10.475925316978971,10.475925316978971
21.0,823.526962144709,371.0186387983738,1194.5456009430827,10.610460780794035,10.610460780794035,10.610460780794035
21.5,891.0094076014332,352.92384626321535,1243.9332538646486,10.754717969062614,10.754717969062614,10.754717969062614
22.0,962.1488059588702,335.7115471735368,1297.860353132407,10.907937862179093,10.907937862179093,10.907937862179093
22.5,1036.9994850162457,319.33870181612775,1356.3381868323734,11.069363853284578,11.069363853284578,11.069363853284578
23.0,1115.6077232948526,303.7643695493603,1419.3720928442128,11.238251683797175,11.238251683797175,11.238251683797175
23.5,1198.011518932404,288.94960643026025,1486.9611253626642,11.413877440083512,11.413877440083512,11.413877440083512
24.0,1284.240406166606,274.85736783436425,1559.0977740009703,11.5955437054388,11.5955437054388,11.5955437054388
24.5,1374.3153196101912,261.45241582486335,1635.7677354350544,11.782584035568483,11.782584035568483,11.782584035568483
25.0,1468.2485060841907,248.70123103940614,1716.9497371235968,11.97436596814491,11.97436596814491,11.97436596814491
25.5,1566.043483365528,236.5719288742334,1802.6154122397613,12.170292793815447,12.170292793815447,12.170292793815447
26.0,1667.6950448227428,225.0341797560609,1892.7292245788037,12.369804313897692,12.369804313897692,12.369804313897692
26.5,1773.1893085627503,214.05913330234804,1987.2484418650984,12.572376795112126,12.572376795112126,12.572376795112126
27.0,1882.5038093942683,203.61934618031415,2086.1231555745826,12.777522309290976,12.777522309290976,12.777522309290976
27.5,1995.607631631498,193.6887134843119,2189.29634511581,12.984787620103791,12.984787620103791,12.984787620103791
28.0,2112.461580515775,184.2424034599657,2296.703983975741,13.193752752346706,13.193752752346706,13.193752752346706
28.5,2233.018389823621,175.25679541185153,2408.2751852354727,13.404029354152962,13.404029354152962,13.404029354152962
29.0,2357.2229630567576,166.70942063945492,2523.9323836962126,13.61525893970869,13.61525893970869,13.61525893970869
29.5,2485.0126454725337,158.57890625371616,2643.5915517262497,13.82711108023091,13.82711108023091,13.82711108023091
30.0,2616.3175241108315,150.8449217336751,2767.1624458445067,14.039281594214696,14.039281594214696,14.039281594214696
